Institute Id,Institute Name,City,Score,RANK_22,TLR_2022,RP_22,GO_22,OI_22,Perception_22
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,39.92,103,62.27,21.2,49,46.66,4.14
IR-E-C-36969,Coimbatore Institute of Technology,Coimbatore,39.83,104,63.02,11.44,49.69,49.29,26.21
IR-E-U-0169,Manav Rachna International Institute of Research & Studies,Faridabad,39.66,105,59.69,9.37,60.8,57.31,10.53
IR-E-U-0147,Pandit Deendayal Energy University,Gandhinagar,39.64,106,56.47,26.12,54.25,35.49,4.63
IR-E-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,39.43,107,50.77,30.69,43.86,51.16,10.95
IR-E-U-0613,National Institute of Technology Manipur,Imphal,39.32,108,63.58,16.86,43.79,59.74,4.63
IR-E-C-36926,Kumaraguru College of Technology,Coimbatore,39.32,108,59.36,15.32,54.14,45.08,15.69
IR-E-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,39.24,110,60.64,12.79,54.11,52.55,11.37
IR-E-U-0367,Veer Surendra Sai University of Technology,Burla,39.14,111,54.79,27.21,47.7,46.42,3.65
IR-E-U-0795,Indian Institute of Information Technology Guwahati,Guwahati,39.09,112,237.09,11.48,56.46,59,32.15
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,39.04,113,59.74,14.47,53.53,50.56,10.11
IR-E-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",38.87,114,63.42,15.59,46.03,57.55,4.14
IR-E-U-0223,"Jain University, Bangalore",Bengluru,38.55,115,53.65,22.75,47.37,58.61,3.14
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,Pune,38.51,116,65.58,9.67,54.35,48.12,2.64
IR-E-C-27616,University College of Engineering,Hyderabad,38.49,117,60.15,9.49,55.99,61.92,2.12
IR-E-C-37065,Kongu Engineering College,Perundurai,38.31,118,58.83,14.44,51.81,43.29,16.43
IR-E-C-33641,"Veermata Jijabai Technological Institute (VJTI, Mumbai)",Mumbai,38.29,119,50.23,13.68,63.97,54.46,8.8
IR-E-U-0507,Dayalbagh Educational Institute,Agra,38.26,120,62.73,9.86,52.88,49.82,9.24
IR-E-C-1371,New Horizon College of Engineering,Bengaluru,38.18,121,56.95,6.56,64.91,56.5,5.12
IR-E-C-37064,Sri Krishna College of Technology,Coimbatore,38.14,122,54.89,12.91,61.72,46.61,7.91
IR-E-U-0056,Tezpur University,Tezpur,38.12,123,50.33,30.7,44.63,40.88,7.91
IR-E-C-50605,PSG Institute of Technology and Applied Research,Coimbatore,38.04,124,61.19,6.17,54.07,49.88,20.29
IR-E-U-0146,Nirma University,Ahmedabad,38.01,125,53.06,18.6,57.81,45.36,4.14
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,38.01,125,49.11,27.77,45.78,52.78,5.12
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",Sonipat,37.96,127,58.17,8.74,56.42,63.09,1.6
IR-E-U-0189,"National Institute of Technology, Hamirpur",Hamirpur,37.91,128,47.41,23.85,57.26,45.23,5.6
IR-E-U-0015,Jawaharlal Nehru Technological University,Kakinada,37.79,129,57.01,19.31,47.55,50.19,3.65
IR-E-C-27058,Mepco Schlenk Engineering College,Sivakasi,37.79,129,51.12,24.77,51.24,50.22,15.32
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,Pune,37.75,131,57.32,3.15,61.89,67.14,5.12
IR-E-U-0616,National Institute of Technology Uttarakhand,Srinagar (Garhwal),37.75,131,61.05,18.92,44.19,45.53,3.65
IR-E-U-0388,"Amity University, Jaipur",Jaipur,37.65,133,51.65,16.14,58.34,54.38,2.12
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,37.64,134,48.59,10.64,71.82,49,6.07
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,37.58,135,56.8,12.47,55.01,56.41,1.6
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,37.49,136,52.4,10.61,52.53,71.66,9.24
IR-E-C-1345,"P E S College of Engineering, Mandya",Mandya,37.4,137,60.33,1.46,65.46,57.72,0
