Institute Id,Institute Name,City,State,Rank_24,Score_23,Rank_23,TLR_23,RPC_23,GO_23,OI_23,Perception_23,Score_22,Rank_22,TLR_22,RPC_22,GO_22,OI_22,Perception_22,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,,56.49,33,62.63,42.48,79.3,66.35,24.73,60.43,20,75.77,44.05,77.55,67.16,22.57,52.58,41,65.95,35.39,69.05,61.66,21.98,54.17,31,70.38,36.8,67.11,64.7,21.26,56,20,78.61,34.57,68.06,65.65,18.72,51.28,26,76.9,30.48,63.07,54.64,9.96,50.6,28,78.98,17.99,66.78,74.26,7.24,70.32,20,85.83,70.35,81.05,47.29,43
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,,51.89,49,57.14,40.37,77.57,54.78,16.51,51.17,47,59.01,37.98,75.22,52.14,18.23,51.9,42,64.23,34.07,73.63,54.84,21.98,48.24,48,59.71,30.56,69,50.72,22.89,47.49,42,63.13,28.38,65.55,49.49,19.77,44.33,48,52.93,29.68,64.99,46.75,18.67,45.68,41,56,30.32,66.14,56.74,8.82,67.94,23,54.63,72.07,74.08,75.04,82
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,,58.03,30,80.97,38.23,73.08,64.85,11.7,56.7,30,78.42,34.93,74.41,66.44,11.78,51.56,43,76.38,28.07,62.59,63.34,13.78,46.13,53,67.71,26.19,56.17,59.29,8.05,45.75,50,67.68,23.44,57.02,63.26,6.86,43.4,54,67.83,18.13,56.92,55.85,6.44,40.2,65,68.8,8.51,50.37,60.47,8.9,67.68,25,73.02,66.41,60.71,60.11,86
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,,49.89,58,54.95,41.2,60.55,54.13,35.17,50.11,50,57.73,43.66,63.35,55.33,14.94,50.59,44,62.2,40.64,62.01,53.66,19.73,51.19,40,63.85,41.64,61.65,54.75,17.42,47.58,41,61.36,36.64,58.47,51.21,13.66,46.29,43,59.2,37.89,60.94,42.36,7.35,41.61,60,52.27,28.6,53.5,58.03,8.53,58.89,48,53.15,64.82,78.28,53.95,41
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,,52.88,45,67.69,41.08,66.94,53.21,15.43,50.5,48,63.78,37.32,63.41,52.63,22.25,50.2,45,66.95,34.56,61.71,53.48,20.65,49.26,44,66.01,31.1,63.81,53.47,20.25,48.94,37,69.13,28.51,63.63,52.66,16.55,48.1,36,69.98,27.18,58.89,52.41,19.35,,,,,,,,,,,,,,
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,,50.68,53,67.76,37.01,59.56,51.4,22.01,49.33,53,66.55,34.54,56.6,50.58,26.21,50.06,46,68.2,34.19,58.24,50.41,26.54,51.42,38,70.07,34.81,58.75,51.57,30.48,50.1,33,66.84,35.8,57.78,52,25.54,51.12,26,71.22,36.61,59.88,51.69,16.21,49.92,31,65.59,29.36,64.22,72.08,13.8,71.8,17,55.39,81.06,82.47,65.5,90
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,,49,65,57.79,40.93,66.01,51.56,10.17,47.61,58,56.53,38.64,65.09,49.87,10.53,49.99,47,64.14,34.39,65.08,56.74,17.35,45.59,54,57.49,31.2,62.46,55.13,9.84,41.88,58,51.01,27.6,60.91,51.3,9.92,42.11,61,52.57,29.06,60.17,45.52,10.37,43.3,50,50.43,28.91,61.07,62.28,10.65,73.13,15,59.02,85.24,78.43,68.81,83
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,,55.07,40,60.85,54.59,69.77,53.35,11.4,54.63,38,65.48,48,66.8,57.58,14.56,49.57,48,63.11,40.36,61.95,52.73,8.68,48.66,46,61.63,35.41,62.3,51.68,19.21,45.61,51,61.31,29.86,61.71,47.42,11.83,43.09,57,61.32,26.01,62.32,35.65,8.67,42.73,53,61.17,18.43,59.99,58.3,10.17,55.49,65,55.75,58.12,66.08,71.32,12
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,,52.85,46,67.98,36.76,60.85,67.76,24.73,49.45,52,68.15,29.01,59.18,63.99,12.59,49.01,49,67.97,27.72,60.78,63.12,18.32,46.45,52,66.18,25.99,59.76,58.66,9.84,35.01,113,45.07,18.89,58.63,35.09,5.8,38.65,74,55.33,18.26,59.32,42.06,5.04,,,,,,,,59.91,42,46.65,74.56,81.02,61.7,25
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,,53.69,44,70.94,46.14,57.91,56.43,13.46,51.93,44,70.08,44.81,52.73,56.17,12.99,48.49,50,71.09,38.38,48.62,55.06,4.23,44.7,58,70.69,28.57,44.25,54.5,6.18,45.38,52,70.88,21.8,58.27,56.06,3.19,44.31,49,70.42,17.39,60.09,58.32,1.06,39.64,68,58.15,12.72,54.89,66.69,7.28,57.37,59,49.49,61.9,70.43,60.32,49
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,,49.62,61,65.74,35.65,54.01,62.25,21.78,48.33,55,67.36,33.36,49.49,62.48,19.61,48.17,51,70.14,28.99,50.15,62.03,21.98,49.06,45,70.32,24.86,54.6,62.23,33.57,47.31,43,68.43,20.68,53.91,62.59,35.31,46.66,39,68.57,18.47,56.93,63.21,28.4,45.38,43,70.66,11.94,59.32,63.31,24.06,61.15,39,62.58,67.06,65.34,61.72,33
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,,46.89,73,65.5,22.62,66.89,51.62,19.1,44.38,72,62.33,17.11,65.13,51.65,23.51,48.12,52,64.83,22.39,67.83,54.17,29.57,46.79,50,61.94,21.89,67.56,51.85,29.4,45.89,49,58.17,26.17,64.17,51.79,25.77,45.9,45,60.44,23.96,66.29,46.51,26.74,52.14,24,70.56,24.47,70.09,69.81,26.33,69.71,21,58.61,66.4,82.92,74.67,95
IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,,49.43,63,64.51,29.98,54.9,47.21,53.86,47.68,57,66.5,24.9,50.81,48.09,52.94,47.91,53,68.57,23.58,48.35,48.89,57.14,47.21,49,69.35,19.73,52.14,48.69,51.77,47.28,44,68.97,17.4,53.37,48.73,58.35,50.31,29,69.82,23.64,55.96,49.87,60.95,49.49,33,66.54,23.64,57.05,62.81,47.48,67.8,24,56.72,64.67,77.3,72.1,94
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,,50.33,55,56.57,40.6,65,58.36,23.4,46.41,62,49.17,38.58,64,51.01,21.93,47.12,54,50.76,33.07,71.08,51.44,26.15,49.45,43,53.01,36.66,73.92,52.91,24.77,48.73,39,53.08,34.19,73.4,52.49,26.21,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,,48.87,66,61.03,44.04,47.51,66.76,11.7,48.56,54,64.87,37.36,46.77,63.38,21.93,46.65,55,59.83,41.05,45.39,63.17,9.87,46.77,51,59.06,31.77,64.14,64.2,2.69,46.07,47,61.42,28.29,62.26,61.93,5.07,47.26,37,56.33,34.48,66.57,62.08,5.04,,,,,,,,,,,,,,
